can_id_hex,can_id_dec,message_name,dlc,transmitter,cycle_time_ms,message_comment,signal_name,is_multiplexer,mux_val,start_bit,bit_length,byte_order,signed,factor,offset,min,max,unit,receivers,signal_comment,values
0x11A,282,x11A,8,VCM,,,JoystickGearPosition,False,,4,4,little,False,1.0,0.0,0.0,0.0,-,Vector__XXX,"(MSBits selected gear: 4 for D/B, 3 for N, 2 for R,0 for Parked)","{2: 'Reverse', 3: 'Neutral', 4: 'Drive/B', 0: 'Parked'}"
0x11A,282,x11A,8,VCM,,,CarOnOffStatus,False,,15,2,big,False,1.0,0.0,0.0,0.0,-,Vector__XXX,,"{4: 'CarOff', 8: 'CarOn'}"
0x11A,282,x11A,8,VCM,,,Mulitplexor,True,,48,8,little,False,1.0,0.0,0.0,0.0,,Vector__XXX,"0, 1, 2, 3",{}
0x11A,282,x11A,8,VCM,,,Unknown_11A_2_5,False,,21,3,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,"00,04,80 observed here",{}
0x11A,282,x11A,8,VCM,,,HeartbeatVCM,False,,24,8,little,False,1.0,0.0,85.0,170.0,,Vector__XXX,,{}
0x11A,282,x11A,8,VCM,,,ECOselected,False,,12,1,little,False,1.0,0.0,0.0,0.0,,Vector__XXX,"If set, ECO mode is active and regen is increased",{}
0x11A,282,x11A,8,VCM,,,ELECTRIC_SHIFT_SYSTEM,False,,9,2,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,"{1: 'SBW_Trq_Down_Req', 3: 'ELECTRIC_SHIFT_SYSTEM', 0: 'NO_ERROR'}"
0x11A,282,x11A,8,VCM,,,Unknown_11A_2_2,False,,18,1,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x11A,282,x11A,8,VCM,,,Unknown_11A_2_6,False,,22,1,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x11A,282,x11A,8,VCM,,,Unknown_11A_2_7,False,,23,1,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x11A,282,x11A,8,VCM,,,Unknown_11A_1_2,False,,10,1,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x11A,282,x11A,8,VCM,,,Unknown_11A_1_3,False,,11,1,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),TargetMotorTorque,False,,23,12,big,True,0.25,0.0,0.0,1024.0,Nm,Vector__XXX,Requested Torque sent to inverter,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),HCM_CLOCK,False,,38,2,little,False,1.0,0.0,0.0,3.0,-,Vector__XXX,"PRUN Detection of frozen data. Message-PRUN-Diag. The transmitting node adds a message counter of 2bits or more to the end of the last data area (or just before the checksum). The value of the counter, which is initially 0, increments by one everytime new data is transmitted, and returned to zero when reaching the max value. The receiving node lets the first message pass without check, but for second next message and following, it check whether the counter number is different from the previous message.",{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),StatusOfHighVoltagePowerSupply,False,,34,1,little,False,1.0,0.0,0.0,0.0,-,Vector__XXX,BTONFN,"{0: 'High Voltage not supplied', 1: 'High Voltage supplied'}"
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),Relay_Plus_Output_Status,False,,46,1,little,False,1.0,0.0,0.0,0.0,-,Vector__XXX,RLYP,"{0: 'Main Relay Plus not output', 1: 'Main Relay Plus ON'}"
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),CRC_1D4,False,,56,8,little,False,1.0,0.0,0.0,255.0,,Vector__XXX,,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),ChargeStatus,False,,52,5,big,False,1.0,0.0,0.0,255.0,MODEMASK,Vector__XXX,"During charging, the first 3 MSBs are high, and if user aborts charge, the highest MSB will go low. Useful for detecting that charge was interrupted by user unplugging the charge cable.","{140: 'Charging interrupted', 224: 'Charging'}"
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),Motor_vibratin_const_stat,False,,45,2,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),Inhibitor_Pos,False,,42,2,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,"{0: 'NA', 1: 'R', 2: 'D', 3: 'P'}"
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),Gear_shift_ingibitor_req,False,,55,2,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),MotorTqLimitUpper,False,,7,8,big,False,2.5,0.0,0.0,0.0,Nm,Vector__XXX,,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),MotorTqLimitLower,False,,15,8,big,False,-2.5,0.0,0.0,0.0,Nm,Vector__XXX,,{}
0x1D4,468,x1D4,8,VCM,10.0,Vehicle Control Module (10ms),BrakePedalPressed,False,,53,1,big,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x1DA,474,x1DA,8,INVmc,10.0,Inverter (10ms),MG_InputVoltage,False,,0,8,little,False,2.0,0.0,0.0,508.0,V,Vector__XXX,,{}
0x1DA,474,x1DA,8,INVmc,10.0,Inverter (10ms),MG_EffectiveTorque,False,,18,11,big,True,0.5,0.0,-274.0,274.0,Nm,Vector__XXX,STMG -  Response from Inverter how much torque was applied (Demand is in 0x1D4) Note that value is 2S!,{}
0x1DA,474,x1DA,8,INVmc,10.0,Inverter (10ms),MG_OutputRevolution,False,,39,15,big,True,1.0,0.0,-16382.0,16382.0,rpm,Vector__XXX,,{}
0x1DA,474,x1DA,8,INVmc,10.0,Inverter (10ms),MG_CLOCK,False,,48,2,little,False,1.0,0.0,0.0,3.0,PRUN,Vector__XXX,"Detection of frozen data. Message-PRUN-Diag. The transmitting node adds a message counter of 2bits or more to the end of the last data area (or just before the checksum). The value of the counter, which is initially 0, increments by one everytime new data is transmitted, and returned to zero when reaching the max value. The receiving node lets the first message pass without check, but for second next message and following, it check whether the counter number is different from the previous message.",{}
0x1DA,474,x1DA,8,INVmc,10.0,Inverter (10ms),CRC_1DA,False,,56,8,little,False,1.0,0.0,0.0,0.0,CRC,Vector__XXX,CRC,{}
0x1DA,474,x1DA,8,INVmc,10.0,Inverter (10ms),MG_ErrorCodes,False,,50,6,little,False,1.0,0.0,0.0,0.0,status,Vector__XXX,,{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Current,False,,7,11,big,True,0.5,0.0,-400.0,200.0,A,Vector__XXX,"BatteryCurrentSignal , 2s comp, 1lSB = 0.5A",{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Relay_Cut_Request,False,,11,2,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,00 = No-Request 01 = Main Relay OFF Request 10 = Main Relay OFF Request 11 = Main Relay OFF Request,"{0: 'No-Request', 1: 'Main Relay OFF Request', 2: 'Main Relay OFF Request', 3: 'Main Relay OFF Request'}"
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Failsafe_Status,False,,8,3,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,,"{0: 'Normal Start Request', 1: 'Normal Stop Request', 2: 'Charging Mode Stop Request', 3: 'Charging Mode Stop Request & Normal Stop Request', 4: 'Caution Lamp Request', 5: 'Caution Lamp Request & Normal Stop Request', 6: 'Caution Lamp Request & Charging Mode Stop Request', 7: 'Caution Lamp Request & Charging Mode Stop Request & Normal Stop Request'}"
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Total_Voltage,False,,23,10,big,False,0.5,0.0,0.0,450.0,V,Vector__XXX,,{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_MainRelayOn_flag,False,,29,1,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,0h = No-Permission 1h = Main Relay On Permission,"{0: 'No-Permission', 1: 'Main Relay On Permission'}"
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Full_CHARGE_flag,False,,28,1,little,False,1.0,0.0,0.0,0.0,,Vector__XXX,,{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_INTER_LOCK,False,,27,1,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,0h = Not Inter Lock connected 1h = Inter Lock connected,"{0: 'Not Inter Lock connected', 1: 'Inter Lock connected'}"
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Discharge_Power_Status,False,,25,2,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,00b = Reserved 01b = Normal limit POUT 10b = High rate limit POUT 11b = Immediate limit POUT,"{0: 'Reserved', 1: 'Normal limit POUT', 2: 'High rate limit POUT', 3: ' Immediate limit POUT'}"
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Voltage_Latch_Flag,False,,24,1,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,,{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Usable_SOC,False,,32,7,little,False,1.0,0.0,0.0,0.0,,Vector__XXX,Contains SOC for dash. LB_USABLE_SOC is a 1% resolution 'proper' SOC calculated by the LBC and used by ABB chargers and the SOC display in the dash menu as well as the 3-light charging indicator on top of the dash [Needs to be copied to this location when doing 40/62kWh swaps into AZE0],{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_PRUN_1DB,False,,48,2,little,False,1.0,0.0,0.0,0.0,,Vector__XXX,"MPR1DB Detection of frozen data. Message-PRUN-Diag. The transmitting node adds a message counter of 2bits or more to the end of the last data area (or just before the checksum). The value of the counter, which is initially 0, increments by one everytime new data is transmitted, and returned to zero when reaching the max value. The receiving node lets the first message pass without check, but for second next message and following, it check whether the counter number is different from the previous message.",{}
0x1DB,475,x1DB,8,HVBAT,10.0,Lithium Battery Controller (10ms),CRC_1DB,False,,56,8,little,False,1.0,0.0,0.0,0.0,CRC,Vector__XXX,CRC,{}
0x1DC,476,x1DC,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Discharge_Power_Limit,False,,7,10,big,False,0.25,0.0,0.0,254.0,kW,Vector__XXX,Max available power that can be pulled from battery,{}
0x1DC,476,x1DC,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Charge_Power_Limit,False,,13,10,big,False,0.25,0.0,0.0,254.0,kW,Vector__XXX,Max power that battery can be charged with,{}
0x1DC,476,x1DC,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_MAX_POWER_FOR_CHARGER,False,,19,10,big,False,0.1,-10.0,-10.0,90.0,kW,Vector__XXX,LB_BPCMAX,{}
0x1DC,476,x1DC,8,HVBAT,10.0,Lithium Battery Controller (10ms),LB_Charge_Power_Status,False,,24,2,little,False,1.0,0.0,0.0,0.0,MODEMASK,Vector__XXX,00b = Reserved 01b = Normal limit PIN 10b = High rate limit PIN 11b = Immediate limit PIN,"{0: 'Reserved', 1: 'Normal limit PIN', 2: 'High rate limit PIN', 3: 'Immediate limit PIN'}"
